Word	Definition	Example
depredation	plundering	After the depredations of the invaders, the people were penniless.
deranged	insane	He had to be institutionalized because he was deranged.
derelict	neglectful of duty; abandoned	The corporal who fell asleep while on watch was thrown into the guardhouse for being derelic in his duty.
deride	scoff at	The people derided his grandiose schemes.
derision	ridicule	They greeted his proposal with derision and refused to consider it seriously.
derivative	unoriginal; obtained from another source	Although her early poetry was clearly derivative in nature, the critics thought she had promise and eventually would find her own voice.
dermatologist	one who studies the skin and its diseases	I advise you to consult a dermatologist about your acne.
derogatory	expressing a low opinion	I resent your derogatory remarks.
descry	catch sight of	In the distance, we could barely descry the enemy vessels.
desecrate	profane; violate the sanctity of	The soldiers desecrated the temple.
desiccate	dry up	A tour of this smokehouse will give you an idea of how the pioneers used to desiccate food in order to preserve it.
desolate	rob of joy; lay waste to; forsake	The bandits desolated the countryside, burning farms and carrying off the harvest.
desperado	reckless outlaw	Butch Cassidy was a bold desperado with a price on his head.
despicable	contemptible	Your despicable remarks call for no reply.
despise	scorn	I despise your attempts at a reconciliation at this time and refuse to meet you.
despoil	plunder	If you do not yield, I am afraid the enemy will despoil the countryside.
despondent	depressed; gloomy	To the dismay of his parents, he became more and more depondent every day.
despotism	tyranny	The people rebelled against the despotism of the king.
destitute	extremely poor	The costs of the father's illness left the family destitute.
desultory	aimless; haphazard; digressing at random	In prison Malcolm X set himself the task of reading straight through the dictionary; to him reading was purposeful, not desultory.
detached	emotionally removed; calm and objective; indifferent	A psychoanalyst must maintain a detached point of view and stay uninvolved with her patients' perssonal lives.
determinate	having a fixed order of procedure; invariable	At the royal wedding, the procession of the nobles followed a determinate order of precedence.
deterrent	something that discourages; hindrance	Does the threat of capital punishment serve as a deterrent to potential killers?
detonation	explosion	The detonation of the bomb could be heard miles away.
detraction	slandering; aspersion	He is offended by your frequent detractions of his ability as a leader.
detrimental	harmful; damaging	Your acceptance of her support will ultimately prove detrimental rather than helpful to your cause.
deviate	turn away from	Do not deviate from the truth; you must face the facts.
devious	going astray; erratic	Your devious behavior in this matter puzzles me since you are usually direct and straightforward.
devoid	lacking	He was devoid of any personal desire for gain in his endeavor to secure improvement in the community.
devolve	deputize; pass to others	It devolved upon us, the survivors, to arrange peace terms with the enemy.
devotee	enthusiastic follower	A devotee of the opera, he bought season tickets every year.
devout	pious	The devout man prayed daily.
dexterous	skillful	The magician was so dexterous that we could not follow his movements as he performed his tricks.
diabolical	devilish	This scheme is so diabolical that I must reject it.
diadem	crown	The king's diadem was on display at the museum.
dialectic	art of debate	I am not skilled in dialectic and therefore, cannot answer your arguments as forcefully as I wish.
diaphanous	sheer; transparent	They saw the burglar clearly through the diaphanous curtain.
diatribe	bitter scolding; invective	During the lengthy diatribe delivered by his opponent he remained calm and self-controlled.
dichotomy	branching into two parts	The dichotomy of our legislative system provides us with many safeguards.
dictum	arthoritative and weighty statement	She repeated the statement as though it were the dictum of the most expert worker in the group.
didactic	teaching; instructional; preaching or moralizing	The didactic qualities of his poetry overshadow its literary qualities; the lesson he teaches is more memorable than the lines.
die	device for stamping or impressing; mold	In coining pennies, workers at the old mint squeezed sheets of softened copper between two dies.
diffidence	shyness	You must overcome your diffidence if you intend to become a salesperson.
diffusion	wordiness; spreading in all directions like a gas	Your composition suffers from a diffusion of ideas; try to be more compact.
digression	wandering away from the subject	Nobody minded when Professor Renoir's lectures wandered away from their offical theme; his digressions were always more fascinating than the topic of the day.
dilapidated	ruined because of neglect	We felt that the dilapidated building needed several coats of paint.
dilate	expand	In the dark, the pupils of your eyes dilate.
dilatory	delaying	Your dilatory tactics may compel me to cancel the contract.
dilemma	problem; choice of two unsatisfactory alternatives	In this dilemma, he knew no one to whom he could turn for advice.
dilettante	aimless follower of the arts; amateur; dabbler	He was not serious in his painting; he was rather a dilettante.
diligence	steadiness of effort; persisten hard work	Her employers were greatly impressed by her diligence and offered her a partnership in the firm.
dilute	make less concentrated; reduce in strength	She preferred her coffee diluted with milk.
diminution	lessening; reduction in size	The blockaders hoped to achieve victory as soon as the diminution of the enemy's supplies became serious.
din	continued loud noise	The din of the jackhammers outside the classroom window drowned out the lecturer's voice.
dinghy	small boat (often ship's boat)	In the film Lifeboat, an ill-assorted group of passengers from a sunken ocean liner are marooned at sea in a dinghy.
dingy	dull; not fresh; cheerless	Refusing to be depressed by her dingy studio apartment, Bea spent the weekend polishing the floors and windows and hanging bright posters on the walls.
dint	means; effort	By dint of much hard work, the volunteers were able to control the raging forest fire.
diorama	like-size, three-dimensional scene from nature or history	Because they dramatically pose actual stuffed animals against realistic painted landscapes, the dioramas at the Museum of Natural History particularly impress high school biology students.
dire	disastrous	People ignored her dire predictions of an approaching depression.
dirge	lament with music	The funeral dirge stirred us to tears.
disabuse	correct a false impression; undeceive	I will attempt to diabuse you of your impression of my client's guilt; I know he is innocent.
disaffected	disloyal	Once the most loyal of Gorbachev's supporters, Shverdnaze found himself becoming increasingly disaffected.
disapprobation	disapproval; condemnation	The conservative father viewed his daughter's radical boyfriend with disapprobation.
disarray	a disorderly or untidy state	After the New Year's party, the once orderly house was in total disarray.
disavowal	denial; disclaiming	His disavowal of his part in the conspiracy was not believed by the jury.
disband	dissolve; disperse	The chess club disbanded after its disastrous initial season.
disburse	pay out	When you disburse money on the company's behalf, be sure to get a receipt.
discernible	distinguishable; perceivable	The ships in the harbor were not discernible in the fog.
discerning	mentally quick and observant; having insight	Because he was considered the most discerning member of the firm, he was assigned the most difficult cases.
disclaim	disown; renounce claim to	If I grant you this previlege, will you disclaim all other rights?
disclose	reveal	Although competitors offered him bribes, he refused to disclose any information about his company's forthcoming product.
discombobulated	confused; discomposed	The novice square dancer became so discombobulated that he wandered into wrong set.
discomfit	put to rout; defeat; disconcert	This ruse will discomfit the enemy.
disconcert	confuse; upset; embarrass	The lawyer was disconcerted by the evidence produced by her adversary.
disconcolate	sad	The death of his wife left him disconsolate.
discordant	inharmonious; conflicting	She tried to unite the discordant factions.
discount	disregard	Be prepared to discount what he has to say about his ex-wife.
discourse	formal disscussion; conversation	The young Plato was drawn to the Agora to hear the philosophical discourse of Socrates and his followers.
discredit	defame; destroy confidence in; disbelieve	The campaign was highly negative in tone; each candidate tried to discredit the other.
discrepancy	lack of consistency; difference	The police noticed some discrepancies in his description of the crime and did not believe him.
discrete	separate; unconnected	The universe is composed of discrete bodies.
discretion	prudence; ability to adjust actions to circumstances	Use your discretion in this matter and do not discuss it with anyone.
discrimination	ability to see differences; prejudice	They feared he lacked sufficient discrimination to judge complex works of modern art.
discursive	digressing; rambling	They were annoyed and bored by her discursive remarks.
disdain	treat with scorn or contempt	You make enemies of all you disdain.
disembark	go ashore; unload cargo from a ship	Before the passengers could disembark, they had to pick up their passports from the ship's purser.
disenfranchise	deprive of a civil right	The imposition if the poll tax effectively disenfranchised poor Southern blacks, who lost their right to vote.
disengage	uncouple; separate; disconnect	A standard movie routine involves the hero's desperate attempt to disengage a railroad car from a moving train.
disfigure	mar the appearance of; spoil	An ugly frown disfigured his normally pleasant face.
disgorge	surrender something; efect; vomit	Unwilling to disgorge the cash he had stolen from the pension fund, the embezzler tried to run away.
disgruntle	make discontented	The passengers were disgruntled by the numerous delays.
dishearten	discourage	His failure to pass the bar exam disheartened him.
disheveled	untidy	Your disheveled appearance will hurt your chances in this interview.
disinclination	unwilingness	Some mornings I feel a great disinclination to get out of bed.
disingenuous	not naive; sophisticated	Although he was young, his remarks indicated that he was disingenous.
disinter	dig up; unearth	They disinterred the body and held an autopsy.
disinterested	unprejudiced	The only disinterested person in the room was the judge.
disjointed	disconnected	His remarks were so disjointed that we could not follow his reasoning.
dislodge	remove (forcible)	Thrusting her fist up under the choking man's lower ribs, Margaret used the Heimlich maneuver to dislodge the food caught in this throat.
dismantle	take apart	When the show closed, they dismantled the scenery before restoring it.
dismember	cut into small parts	When the Austrian Empire was dismembered, several new countries were established.
dismiss	eliminate from consideration; reject	Believing in John's love for her, she dismissed the notion that he might be unfaithful.
disparage	belittle	Do not disparage anyone's contribution; these little gifts add up to large sums.
disparate	basically different; unrelated	It is difficult, if not impossible, to organize these disparate elements into a coherent whole.
disparity	difference; condition of inequality	The disparity in their ages made no difference at all.
dispassionate	calm; impartial	In a dispassionate analysis of the problem, he carefully examined the causes of the conflict and proceeded to suggest suitable remedies.
dispatch	speediness; prompt execution; message sent with all due speed	Young Napoleon defeated the enemy with all possible dispatch; he then sent a dispatch to headquarters, informing his commander of the great victory.
dispel	scatter; drive away; cause to vanish	The bright sunlight eventually dispelled the morning mist.
disperse	scatter	The police fired tear gas into crowd to disperse the protesters.
dispirited	lacking in spirit	The coach used all the tricks at his command to buoy up the enthusiasm of his team, which I had become dispirited at the loss of the star player.
disport	amuse	The popularity of Florida as a winter resort is constantly increasing; each year, thousands more disport themselves at Miami and Palm Beach.
disputatious	argumentative; fond of argument	People avoided discussing contemporary problems with him because of his disputatious manner.
disquisition	a formal systematic inquiry; an explanation of the results of a formal inquiry	In his disquisition, he outlined the steps he had taken in reaching his conclusions.
dissection	analysis; cutting apart in order to examine	The dissection of frogs on the laboratory is particularly unpleasant to some students.
dissemble	disguise; pretend	Even though John tried to dissemble his motive for taking modern dance, we all knew there not to dance but to meet girls.
disseminate	scatter (like seeds)	The invention of the radio helped propagandists to disseminate their favorite doctrines very easily.
dissent	disagree	In a landmark Supreme Court decision, Justice Marshall dissented from the majority opinion.
dissertation	formal essay	In order to earn a graduate degree from many of our universities, a candidate is frequently required to prepare a dissertation on some scholarly subject.
dissident	dissenting; rebellious	In the purge that followed the student demonstrations at Tianamen Square, the government hunted down the dissident students and their supporters.
dissimulate	pretend; conceal by feigning	She tried to dissimulate her grief by her exuberant attitude.
dissipate	squander	The young man quickly dissipated his inheritance and was soon broke.
dissolution	disintegration; looseness in morals	The profligacy and dissolution of life in Caligula's Rome appall some historians.
dissonance	discord	Some contemporary musicians deliberately use dissonance to achieve certain effects.
dissuade	advise against	He could not dissuade his friend from joining the conspirators.
distant	reserved or aloof; cold in manner	His distant greeting made me feel unwelcome from the start.
distend	expand;swell out	I can tell when he is under stress by the way the veins distend on his forehead.
distill	purify; refine; concentrate	A moonshiner distills mash into whiskey; an epigrammatist distills thoughts into quips.
distortion	twisting out of shape	It is difficult to believe the newspaper accounts of this event because of the distortions and exaggerations of the reporters.
distrait	absentminded	Because of his concentration on the problem, the professor often appeared distrait and unconcerned about routine.
distraught	upset; distracted by anxiety	The distraught parents frantically searched the ravine for their lost child.
diurnal	daily	A farmer cannot neglect his diurnal tasks at any time; cows, for example, must be milked regularly.
diva	operatic singer; prima donna	Although world famous as a diva, she did not indulge in fits of temerament.
diverge	vary; go in different directionsfrom the same point	The spokes of the wheel diverge from the hub.
divergent	differing; deviating	The two witnesses presented the jury with remarkably divergent accounts of the same epipode.
diverse	differing in some characteristics; various	There are diverse ways of approaching this problem.
diversion	act of turning aside; pastime	After studying for several hours, he needed a diversion from work.
diversity	variety; dissimilitude	The diversity of colleges in this country indicates that many levels of ability are being served.
divest	strip; deprive	He was divested of his power to act and could no longer govern.
divine	perceive intuitively; foresee the future	Nothing infuriated Tom more than Aunt Polly's ability to divine when he was not telling the truth.
divulge	reveal	I will not tell you this news because I am sure you will divulge it prematurely.
docile	obedient; easily managed	As docile as he seems today, that old lion was once a ferocious, snarling beast.
docket	program asfor trial; book where such entries are made	The case of Smith v. Jones was entered in the docket for July 15.
doctrinaire	unable to compromise about points of doctrine; dogmatic; unyielding	Weng had hoped that the student-led democracy movement might bring about change in China, but the repressive response of the doctrinaire hard-liners crushed his dreams of democracy.
document	provide written evidence	She kept all the receipts from her business trip in order to document her expenses for the firm.
doddering	shaky; infirm from old age	Although he is not as yet a doddering and senile old man, his ideas and opinions no longer can merit the respect we gave them years ago.
doff	take off	A gentleman used to doff his hat to a lady.
dogged	determined;stubborn	Les Miserables tells of Inspector Javert's long, dogged pursuit of the criminal Jean Valjean.
doggerel	poorverse	Although we find occasional snatches of genuine poetry in her work, most of her writing is mere doggerel.
dogmatic	positive; arbitrary	Do not be so dogmatic about that statement; it can be easily refuted.
doldrums	blues; listlessness; slack period	Once the excitement of meeting her deadline was over, she found herself in the doldrums.
dolorous	sorrowfrl	He found the dolorous lamentations of the bereaved family emotionally disturbing and he left as quickly as he could.
dolt	stupid person	I thought I was talking to a mature audience; instead, I find myself addressing a pack of dolts.
domicile	home	Althoughhis legal domicile was in New York City, his work kept him away from his residence for many years.
domineer	rule over tyrannically	Students prefer teachers who guide, not ones who domineer.
don	put on	When Clark Kent had to don his Superman outfit, he changed clothes in a convenient phone booth.
dormant	sleeping; lethargic; torpid	Sometimes dormant talents in our friends surprise those of us who never realize how gifted our acquaintances really are.
dormer	window projecting from roof	In remodeling the attic into a bedroom, we decided that we needed to put in dormers to provide sufficient ventilation for the new room.
dorsal	relating to the back of an animal	A shark may be identified by its dorsal fin, which projects above the surface of the ocean.
dossier	file of documents on a subject	Ordered by J. Edgar Hoover to investigate the senator, the FBI compiled a complete dossier.
dotage	senility	In his dotage, the old man bored us with long tales of events in his childhood.
dote	be excessively fond of; show signs of mental decline	Not only grandmothers bore you with stories about their brilliant grandchildren; grandfathers dote on the littel rascals, too.
dour	sullen; stubborn	The man was dour abd taciturn.
douse	plunge into water; drench; extinguish	They doused each other with hoses and balloons.
dowdy	slovenly; untidy	She tried to change her dowdy image by buying a fashionable new wardrobe.
downcast	disheartened; sad	Cheerful and optimistic by nature, Beth was never downcast despite the difficulties she faced.
drab	dull; lacking color; cheerless	The Dutch woman's drab winter coat contrasted with the distinctive, colorful native costume she wore beneath it.
dregs	sediment; worthless residue	David poured the wine carefully to avoid stirring up the dregs.
droll	queer and amusing	He was a popular guest because his droll anecdotes were always entertaining.
drone	idle person; male bee	Content to let his wife support him, the would-be writer was in reality nothing but a drone.
drone	talk dully; buzz or murmur like a bee	On a gorgeous day, who wants to be stuck in a classroom listening to the teacher drone?
dross	waste matter; worhtless impurities	Many methods have been devised to separate the valuable metal from the dross.
drudgery	menial work	Cinderella's fairy godmother rescued her from a life of drudgery.
dubious	doubtful	He has the dubious distinction of being the lowest man in his class.
ductility	malleability; flexibility; ability to be drawn out	Copper wire has many industrial uses because of its extreme ductility.
dulcet	sweet sounding	The dulcet sounds of the birds at dawn were soon drowned out by the roar of traffic passing our motel.
dupe	someone easily fooled	While the gullible Watson often was made a dupe by unscrupulous parties, Sherlock Holmes was far more difficult to fool.
duress	forcible restraint, especially unlawfully	The hostages were held under duress until the prisoners' demands were met.
dutiful	respectful; obedient	The dutiful child grew up to be a conscientious adult aware of his civic obligations.
dwindle	shrink; reduce	They spent so much money that their funds dwindled to nothing.
dynamic	active; efficient	A dynamic government is necessary to meet the demands of a changing society.
dyspeptic	suffering from indigestion	All the talk about rich food made him feel dyspeptic.
earthy	unrefined; coarse	His earthy remarks often embarrassed the women in the audience.
ebb	recede; lessen	His fortunes began to ebb during the recession.
ebullient	showing excitement; overflowing with enthusiasm	His ebullient nature could not be repressed.
eccentric	odd; whimsical; irregular	The comet passed close by the earth in its eccentric orbit.
eccentricity	oddity; idiosyncrasy	Some of his friends tried to account for his rudeness to strangers as the eccentricity of genius.
ecclesiastic	pertaining to the church	The minister donned his ecclesiastic garb and walked to the pulpit.
eclectic	selective; composed of elements drawn from disparate sources	His style of interior decoration was eclectic: bits and pieces of furnishings from widely divergent periods, strikingly juxtaposed to create a unique color.
eclipse	darken; extinguish; surpass	The new stock market high eclipsed the previous record set in 1985.
ecologist	person concerned with the interrelationship between living organisms and their environment	The ecologist was concerned that the new dam would upset the natural balance of the creatures living in Glen Canyon.
economy	efficiency or conciseness in using something	Reading the epigrams of Pope, I admire the economy of his verse: in few words he conveys worlds of meaning.
ecstasy	rapture, joy; any overpowering emotion	The announcement that the war had ended brought on an ecstasy that resulted in many uncontrolled celebrations.
eddy	swirling current of water, air, etc	The water in the tide pool was still, except for an occasional eddy.
edify	instruct; correct morally	Although his purpose was to edify and not to entertain his audience, many of his listeners were amused and not enlightened.
eerie	weird	In that eerie setting, it was easy to believe in ghosts and other supernatural beings.
efface	rub out	The coin had been handled so many times that its data had been effaced.
effectual	efficient	If we are to succeed, we must seek effectual means of securing our goals.
effeminate	having womanly traits	His voice was high-pitched and effeminate.
effervescence	inner excitement; exuberance	Nothing depressed her for long; her natural effervescence soon reasserted itself.
effete	worn out; exhausted; barren	The literature of the age reflected the effete condition of the writers; no new ideas were forthcoming.
efficacy	power to produce desired effect	The efficacy of this drug depends on the regularity of the dosage.
effigy	dummy	The mob showed its irritation by hanging the judge in effigy.
effluvium	noxious smell	Air pollution has become a serious problem in our major cities; the effluvium and the poisons in the air are hazards to life.
effrontery	shameless boldness	She had the effrontery to insult the guest.
effusion	pouring forth	The critics objected to her literary effusion because it was too flowery.
effusive	pouring forth; gushing	Her effusive manner of greeting her friends finally began to irritate them.
egoism	excessive interest in one's self; belief that one should be interested in one's self rather than in	others His egoism prevented him from seeing the needs of his colleagues.
egotism	conceit; vanity	She thought so much of herself that we found her egotism unwarranted and irritating.
egregious	notorious; conspicuously bad; shocking	She was an egregious liar; we all knew better than to believe a word she said.
egress	exit	Barnum's sign "To the Egress" fooled many people who thought they were going to see an animal and instead found themselves in the street.
ejaculation	exclamation	He could not repress an ejaculation of surprise when he heard the news.
elaboration	addition of details; intricacy	Tell what happened simply, without any elaboration.
elated	overjoyed; in high spirits	Grinning from ear to ear, Bonnie Blair was clearly elated by her Olympic victory.
elegy	poem or song expressing lamentation	On the death of Edward King, Milton composed the elegy "Lycidas".
elicit	draw out by discussion	The detectives tried to elicit where he had hidden his loot.
elixir	cure-all; something invigorating	The news of her chance to go abroad acted on her like an elixir.
ellipsis	omission of words from a text	Sometimes an ellipsis can lead to a dangling modifier, as in the sentence "Once dressed, you should refrigerate the potato salad.
elliptical	oval; ambiguous, either purposely or because key words have been left out	An elliptical billiad ball wobbles because it is not perfectly round; an elliptical remark baffles because it is not perfectly clear.
eloquence	expressiveness; persuasive speech	The crowds were stirred by Martin Luther King's eloquence.
elucidate	explain; enlighten	He was called upon to elucidate the disputed points in his article.
elusive	evasive; baffling; hard to grasp	His elusive dreams of wealth were costly to those of his friends who supported him financially.
elysian	relating to paradise; blissful	An afternoon sail on the bay was for her an elysian journey.
emaciated	thin and wasted	His long period of starvation had left him emaciated.
emanate	issue forth	A strong odor of sulfur emanated from the spring.
emancipate	set free	At first, the attempts of the Abolitioninst to emancipate the slaves were unpopular in New England as well as in the South.
embargo	ban on commerce or other activity	As a result of the embargo, trade with colonies was at a standstill.
embark	commence; go on board a boat; begin a journey	In devoting herself to the study of gorillas, Dian Fossey embarked on a course of action that was to cost her her life.
embed	enclose; place in something	Tales of actual historical figures like King Alfred have become embedded in legends.
embellish	adorn My mother-in-law's stories about her journey from Russia made us laugh because she embellished the bare	facts of her travels with humourous acecdotes.
embezzlement	stealing	The bank teller confessed his embezzlement of the funds.
embroil	throw into confusion	He became embroiled in the heated discussion when he tried to arbitrate the dispute.
embryonic	undeveloped; rudimentary	The evil of class and race hatred must be eliminated while it is still in an embryonic state; otherwise, it may grow to dangerous proportions.
emend	correct, usually a text	The critic emended the book by retranslating several passages.
emendation	correction of errors; improvement	Please initial all the emendations you have made in this contract.
emetic	substance causing vomiting	The use of an emetic like mustard is useful in cases of poisoning.
eminent	high; lofty	After his appointment to this emiment position, he seldom had time for his former friends.
emissary	agent; messenger	The secretary of State was sent as the President's special emissary to the conference on disarmament.
emollient	soothing or softening remedy	He applied an emollient to the inflamed area.
emolument	salary; compensation	In addition to the emolument this position offers, you must consider the social prestige it carries with it.
empathy	ability to identify with another's feelings, ideas, etc	What made Ann such a fine counselor was her empathy, her ability to put herself in her client's place and feel his emotions as if they were her own.
empirical	based on experience	He distrusted hunches and intuitive flashes; he placed his reliance entirely on empirical data.
emulate	rival; imitate	As long as our political leaders emulate the virtues of the great leaders of this country, we shall flourish.
enamored	in love	Narcissus became enamored of his own beauty.
enclave	territory enclosed within an alien land	The Vatican is an independent enclave in Italy.
encomiastic	praising; eulogistic	Some critics believe that his encomiastic statements about Napoleon were inspired by his desire for material advancement rather than by an honest belief in the Emperor's genius.
encomium	high praise; eulogy	Uneasy with the encomiums expressed by his supporters, Tolkien felt unworthy of such high praise.
encompass	surround	Although we were encompassed by enemy forces, we were cheerful for we were well stocked and could withstand a siege until our allies joined us.
encroachment	gradual intrusion	The encroachment of the factories upon the neighborhood lowered the value of the real estate.
encumber	burden	Some people encumber themselves with too much luggage, when they take short trips.
endearment	fond word or act	Your gifts and endearments cannot make me forget your earlier insolence.
endemic	prevailinig among a specific group of people or in a specific are or country	This disease is endemic in this part of the world; more than 80 percent of the population are at one time or another affected by it.
endorse	approve; support	Everyone waited to see which one of the rival candidates for the city council the mayor would endorse.
endue	provide with some quality; endow	He was endued with a lion's courage.
enduring	lasting; surviving	Keats believed in the enduring power of great art, which outlast its creator's brief lives.
energize	invigorate; make forceful and active	Rather than exhausting Maggie, dancing energized her.
enervate	weaken	She was slow to recover from her illness; even a short walk to the window evervated her.
enfranchise	admit to the rights of citizenship (especially the right to vote)	Although blacks were enfranchised shortly after the Civil War, women did not receive the right to vote until 1920.
engage	attract; hire; pledge oneself; confront	"Your case has engaged my interest, my lord," said Holmes, "You many engage my services".
engender	cause; produce	To receive praise for real accomplishments engenders self-confidence in a child.
engross	occupy fully	John was so engrossed in his studies that he did not hear his mother call.
enhance	advance; improve	Your chances for promotion in this department will be enhanced if you take some more courses in evening school.
enigma	puzzle	Depite all attempts to decipher the code, it remained an enigma.
enigmatic	obscure; puzzling	Many have sought to fathom the enigmatic smile of the Mona Lisa.
enjoin	command; order; forbid	The owners of the company asked the court to enjoin the union from picketing the plant.
enmity	ill will; hatred	At Camp David President Carter labored to bring an end to the enmity that prevented Egypt and Israel from living in peace.
ennui	boredom	The monotonous routine of hopital life induced a feeling of ennui which made him moody and irritable.
enormity	hugeness (in a bad sense)	He did not realize the enormity of his crime until he saw what suffering he had caused.
enrapture	please intensely	The audience was enraptured by the freshness of the voices and the excellent orchestration.
ensconce	settle comfortably	The parents thought that their children were ensconced safely in the private school and decided to leave for Europe.
ensue	follow	The evils that ensued were the direct result of the miscalculations of the leaders.
enthrall	capture; enslave	From the moment he saw her picture, he was enthralled by her beauty.
entice	lure; attract; tempt	She always tried to entice her baby brother into mischief.
entity	real being	As soon as the charter was adopted, the United Nations became an entity and had to be considered as a factor in world diplomacy.
entomology	study of insects	I found entomology the least interesting part of my course in biology; studying insects bored me.
entrance	put under a spell; carry away with emotion	Shafts of sunlight on a wall could entrance her and leave her spellbound.
entreat	plead; ask earnestly	She entreated her father to let her stay out till midnight.
entree	entrance; a way in	Because of his wealth and social position, he had entree into the most exclusive circles.
entrepreneur	businessperson; contractor	Opponents of our present tax program argue that it discourages entrepreneurs from trying new fields of business activity.
enumerate	list; mention one by one	Huck hung his head in shame as Miss Watson enumerated his many flaws.
enunciate	speak distinctly	How will people understand you if you do not enunciate?
environ	enclose; surround	Paris was environed by a wall
eon	long period of time; an age	It has taken eons for our civilization to develop.
epaulet	ornament worn on the shoulder (of a uniform, etc.)	The shoulder loops on Sam Spade's trench coat are the nonmilitary counterparts of the fringed epaulets on George Washington's uniform.
ephemeral	short-lived; fleeting	The mayfly is an ephemeral creature.
epic	long heroic poem, novel, or similar work of art	Kurosawa's film Seven Samurai is an epic portraying the struggle of seven warriors to destroy a band of robbers.
epicure	connoisseur of food and drink	epicures frequent this restaurant because it features exotic wines and dishes.
epigram	witty thought or saying, usually short	Poor Richard's epigrams made Benjamin Franklin famous.
epilogue	short speech at conclusion of dramatic work	The audience was so disappointed in the play that many did not remain to hear the epilogue.
episodic	loosely connected	Though he tried to follow the plot of Gravity's Rainbow, John found the novel too episodic.
epistemologist	philosopher who studies the nature of knowledge	"What is more important, a knowledge of nature of the nature of knowledge?" the epistemologist asked the naturalist.
epitaph	inscription in memory of a dead person	In his will, he dictated the epitaph he wanted placed on his tombstone.
epithet	word or phrase characteristically used to describe a person or thing	So many kings of France were named Charles that modern students need epithets to tell them apart: Charles the Wise, for example, was someone far different from Charles the Fat.
epitome	perfect example or embodiment	Singing "I am the very model of a modern Major-General" in The Pirates of Penzance, Major-General Stanley proclaimed himself the epitome of an officer and a gentleman.
epoch	period of time	The glacial epoch lasted for thousands of years.
equable	tranquil; steady; uniform	After the hot summers and cold winters of New England, he found the climate of the West Indies equable and pleasant.
equanimity	calmness of temperament	In his later years, he could look upon the foolishness of the world with equanimity and humor.
equestrian	rider on horseback	These paths in the park are reserved for equestrians and their steeds.
equilibrium	balance	After the divorce, he needed some time to regain his equilibrium.
equine	resembling a horse	His long, bony face had an equine look to it.
equinox	period of equal days and nights; the beginning of spring and autumn	The vernal equinox is usually marked by heavy rainstorms.
equipoise	balance; balancing force; equilibrium	The high-wire acrobat used his pole as an equipose to overcome the swaying caused by the wind.
equitable	fair; impartial	I am seeking an equitable solution to this dispute, one which will be fair and acceptable to both sides.
equity	fairness; justice	Our courts guarantee equity to all.
equivocal	doubtful; ambiguous	Macbeth was misled by the equivocal statements of the witches.
equivocate	lie; mislead; attempt to conceal the truth	The audience saw through his attempts to equivocate on the subject under discussion and ridiculed his remarks.
erode	eat away	The limestone was eroded by the dripping water
erotic	pertaining to passionate love	The erotic passages in this novel should be removed as they are merely pornographic.
errant	wandering	Many a charming tale has been written about the knights-errant who helped the weak and punished the guilty during the Age of Chivalry.
erratic	odd; unpredictable	Investors become anxious when the stock market appears erratic.
erroneous	mistaken; wrong	I thought my answer was correct, but it was erroneous.
erudite	learned; scholarly	His erudite writing was difficult to read because of the many allusions which were unfamiliar to most readers.
escapade	prank; flighty conduct	The headmaster could not regard this latest escapade as a boyish joke and expelled the young man.
eschew	avoid	He tried to eschew all display of temper.
esoteric	hard to understand; known only to the chosen few	New Yorker short stories often include esoteric allusions to obscure people and events: the implication is if you are in the in-crowd, you'll get the reference; if you come from Cleveland, you won't.
espionage	spying	In order to maintain its power, the government developed a system of espionage that penetrated every hosehold.
espouse	adopt; support	She was always ready to espouse a worthy cause.
esteem	repect; value; judge	I esteem Ezra Pound both for his exciting poetry and for his acute comments on literature.
estranged	separated; alienated	The estranged wife sought a divorce.
ethereal	light; heavenly; fine	Visitors were impressed by her ethereal beauty, her delicate charm.
ethnic	relating to races	Intolerance between ethnic groups is deplorable and usually is based on lack of information.
ethnology	study of mankind	Sociology is one aspect of the science of ethnology.
ethos	underlying character of a culture, group, etc	Seeing how tenderly Spaniards treated her small daughter made author Barbara Kingsolver aware of how greatly children were valued in the Spanish ethos.
etymology	study of word parts	A knowledge of etymology can help you on many English tests.
eugenic	pertaining to the improvement of race	It is easier to apply eugenic principles to the raising of racehorses or prize cattle than t the development of human beings.
eulogistic	praising	To everyone's surprise, the speech was eulogistic rather than critical in tone.
eulogy	praise	All the eulogies of his friends could not remove the sting of the calumny heaped upon him by his enemies.
euphemism	mild expression in place of an unpleasant one	The expression "he passed away" is a euphemism for "he died".
euphony	sweet sound	Noted for its euphony even when it is spoken, the Italian language is particularly pleasing to the ear when sung.
euphoria	feeling of exaggerated (or unfounded) well-being	"Jill's been on cloud nine ever since Jacj asked her out," said Betty, dismissing her friend's euphoria.
euthanasia	mercy killing	Many people support euthanasia for terminally ill patients who wish to die.
evanescent	fleeting; vanishing	For a brief moment, the entire skyline was bathed in an orange-red hue in the evanescent rays of the sunset.
evasive	not frank; eluding	Your evasive answers convinced the judge that you were witholding important evidence.
evenhanded	impartial; fair	Do men and women receive evenhanded treatment from their teachers, or, as recent studies suggest, do teachers pay more attention to male students than to females?
evince	show clearly	When he tried to answer the questions, he evinced his ignorance of the subject matter.
evoke	call forth	He evoked much criticism by his hostile manner.
ewe	female sheep	The flock of sheep was made up of dozens of ewes, together with only a handful of rams.
